2019-05-13,11:03:16.412,2019-05-13,11:04:06.511,50.099,6,146.134.9.169,146.134.250.10,443,37944,8,1251,1,199,0,156
2019-05-13,11:03:54.641,2019-05-13,11:04:09.713,15.072,17,146.134.250.10,172.217.29.110,41161,443,7,3525,1,1871,0,503
2019-05-13,10:59:55.224,2019-05-13,11:05:15.226,320.002,6,146.134.250.1,104.105.141.86,57416,443,17,1479,1,36,0,87
2019-05-13,11:03:16.412,2019-05-13,11:04:16.411,59.999,6,146.134.250.10,146.134.9.169,37944,443,11,1929,1,257,0,175
2019-05-13,10:59:55.223,2019-05-13,11:05:15.230,320.007,6,104.105.141.86,146.134.250.1,443,57416,34,2295,1,57,0,67
2019-05-13,11:04:16.413,2019-05-13,11:04:21.504,5.091,6,146.134.9.169,146.134.250.10,443,37946,7,1199,1,1884,1,171
2019-05-13,11:04:20.589,2019-05-13,11:04:20.818,0.229,6,34.209.103.65,146.134.250.1,443,49154,2,135,1,4716,8,67
2019-05-13,11:04:20.589,2019-05-13,11:04:20.589,0.000,6,146.134.250.1,34.209.103.65,49154,443,1,87,1,0,0,87
2019-05-13,11:00:27.215,2019-05-13,11:05:29.585,302.370,17,146.134.250.25,146.134.250.255,57621,57621,9,648,1,17,0,72
2019-05-13,11:03:57.910,2019-05-13,11:04:30.649,32.739,17,146.134.250.10,216.58.202.227,36431,443,9,2259,1,552,0,251
2019-05-13,11:04:33.646,2019-05-13,11:04:33.646,0.000,17,146.134.250.10,239.255.255.250,44787,1900,1,153,1,0,0,153
2019-05-13,11:03:57.947,2019-05-13,11:04:30.686,32.739,17,216.58.202.227,146.134.250.10,443,36431,11,2261,1,552,0,205
2019-05-13,11:04:38.669,2019-05-13,11:04:38.738,0.069,17,146.134.250.10,216.58.222.106,55052,443,3,1501,1,174028,43,500
2019-05-13,11:04:38.673,2019-05-13,11:04:38.694,0.021,6,104.19.199.151,146.134.250.10,443,35788,6,1054,1,401523,285,175
2019-05-13,11:04:38.707,2019-05-13,11:04:38.776,0.069,17,216.58.222.106,146.134.250.10,443,55052,4,1543,1,178898,57,385
2019-05-13,11:04:38.831,2019-05-13,11:04:39.197,0.366,6,66.198.244.39,146.134.250.10,443,33092,2,386,1,8437,5,193
2019-05-13,11:04:16.413,2019-05-13,11:04:38.649,22.236,6,146.134.250.10,146.134.9.169,37946,443,10,1877,1,675,0,187
2019-05-13,11:04:38.676,2019-05-13,11:04:38.729,0.053,6,157.240.12.16,146.134.250.10,443,39668,6,829,1,125132,113,138
2019-05-13,11:04:38.671,2019-05-13,11:04:38.717,0.046,6,192.16.58.25,146.134.250.10,443,33456,9,5406,1,940173,195,600
2019-05-13,11:04:38.661,2019-05-13,11:04:44.031,5.370,17,146.134.250.10,64.233.186.156,57059,443,9,2501,1,3725,1,277
2019-05-13,11:04:38.654,2019-05-13,11:04:43.841,5.187,17,146.134.250.10,172.217.29.104,38994,443,8,2934,1,4525,1,366
2019-05-13,11:04:38.686,2019-05-13,11:04:44.182,5.496,17,172.217.29.100,146.134.250.10,443,60225,13,3060,1,4454,2,235
2019-05-13,11:04:38.694,2019-05-13,11:04:43.736,5.042,17,172.217.162.162,146.134.250.10,443,56034,8,3378,1,5359,1,422
2019-05-13,11:04:43.197,2019-05-13,11:04:43.288,0.091,17,146.134.250.10,216.58.202.227,54643,443,4,2885,1,253626,43,721
2019-05-13,11:04:38.660,2019-05-13,11:04:44.172,5.512,17,146.134.250.10,172.217.29.100,60225,443,13,5145,1,7467,2,395
2019-05-13,11:04:43.826,2019-05-13,11:04:43.927,0.101,17,216.58.202.237,146.134.250.10,443,37714,8,2630,1,208316,79,328
2019-05-13,11:04:38.690,2019-05-13,11:04:43.848,5.158,17,172.217.29.104,146.134.250.10,443,38994,10,2658,1,4122,1,265
2019-05-13,11:04:38.669,2019-05-13,11:04:43.808,5.139,17,146.134.250.10,216.58.222.78,54134,443,8,3583,1,5577,1,447
2019-05-13,11:04:38.656,2019-05-13,11:04:43.762,5.106,17,146.134.250.10,172.217.162.162,56034,443,6,2476,1,3879,1,412
2019-05-13,11:04:43.811,2019-05-13,11:04:44.270,0.459,17,146.134.250.10,172.217.30.14,41926,443,6,2903,1,50596,13,483
2019-05-13,11:04:43.790,2019-05-13,11:04:43.956,0.166,17,146.134.250.10,216.58.202.237,37714,443,7,3561,1,171614,42,508
2019-05-13,11:04:38.708,2019-05-13,11:04:43.819,5.111,17,216.58.222.78,146.134.250.10,443,54134,11,3251,1,5088,2,295
2019-05-13,11:04:43.848,2019-05-13,11:04:44.244,0.396,17,172.217.30.14,146.134.250.10,443,41926,7,3144,1,63515,17,449
2019-05-13,11:04:38.719,2019-05-13,11:04:44.059,5.340,17,64.233.186.156,146.134.250.10,443,57059,10,3037,1,4549,1,303
2019-05-13,11:04:43.233,2019-05-13,11:04:43.298,0.065,17,216.58.202.227,146.134.250.10,443,54643,4,1543,1,189907,61,385
2019-05-13,11:04:38.826,2019-05-13,11:04:48.686,9.860,6,66.198.244.39,146.134.250.10,443,33090,16,11712,1,9502,1,732
